Epoch 036/80 | Loss: 2.9055 | SupCon: 2.6129 | CE: 3.4491 | Train Acc: 3.12% | Val Loss: 3.4272 | Val Acc: 3.74% | LR: 0.0002895
Epoch 037/80 | Loss: 2.7626 | SupCon: 2.3942 | CE: 3.4469 | Train Acc: 8.33% | Val Loss: 3.4205 | Val Acc: 11.84% | LR: 0.0002798
Epoch 038/80 | Loss: 2.7638 | SupCon: 2.3928 | CE: 3.4529 | Train Acc: 0.00% | Val Loss: 3.4037 | Val Acc: 28.66% | LR: 0.0002701
Epoch 039/80 | Loss: 2.8781 | SupCon: 2.5679 | CE: 3.4541 | Train Acc: 2.08% | Val Loss: 3.3982 | Val Acc: 30.84% | LR: 0.0002603
Epoch 040/80 | Loss: 2.9891 | SupCon: 2.7401 | CE: 3.4515 | Train Acc: 1.04% | Val Loss: 3.4136 | Val Acc: 22.43% | LR: 0.0002505
Epoch 041/80 | Loss: 2.8898 | SupCon: 2.5767 | CE: 3.4712 | Train Acc: 5.21% | Val Loss: 3.4326 | Val Acc: 14.02% | LR: 0.0002407
Epoch 042/80 | Loss: 2.8425 | SupCon: 2.5236 | CE: 3.4347 | Train Acc: 10.42% | Val Loss: 3.4263 | Val Acc: 15.26% | LR: 0.0002309
Epoch 043/80 | Loss: 2.8605 | SupCon: 2.5607 | CE: 3.4174 | Train Acc: 6.25% | Val Loss: 3.4101 | Val Acc: 18.69% | LR: 0.0002212
Epoch 044/80 | Loss: 2.7583 | SupCon: 2.3992 | CE: 3.4253 | Train Acc: 10.42% | Val Loss: 3.4004 | Val Acc: 18.38% | LR: 0.0002115
Epoch 045/80 | Loss: 2.8408 | SupCon: 2.5184 | CE: 3.4397 | Train Acc: 2.08% | Val Loss: 3.4021 | Val Acc: 14.64% | LR: 0.0002018
Epoch 046/80 | Loss: 2.8299 | SupCon: 2.5107 | CE: 3.4227 | Train Acc: 3.12% | Val Loss: 3.4076 | Val Acc: 9.03% | LR: 0.0001923
Epoch 047/80 | Loss: 2.8366 | SupCon: 2.5209 | CE: 3.4227 | Train Acc: 6.25% | Val Loss: 3.3998 | Val Acc: 19.00% | LR: 0.0001828
Epoch 048/80 | Loss: 2.7280 | SupCon: 2.3349 | CE: 3.4581 | Train Acc: 11.46% | Val Loss: 3.4002 | Val Acc: 20.87% | LR: 0.0001734
Epoch 049/80 | Loss: 2.9618 | SupCon: 2.6975 | CE: 3.4526 | Train Acc: 2.08% | Val Loss: 3.4170 | Val Acc: 15.26% | LR: 0.0001641
Epoch 050/80 | Loss: 2.9231 | SupCon: 2.6433 | CE: 3.4428 | Train Acc: 0.00% | Val Loss: 3.4080 | Val Acc: 15.26% | LR: 0.0001550
Epoch 051/80 | Loss: 2.8639 | SupCon: 2.5576 | CE: 3.4329 | Train Acc: 15.62% | Val Loss: 3.4000 | Val Acc: 18.69% | LR: 0.0001460
Epoch 052/80 | Loss: 2.8574 | SupCon: 2.5493 | CE: 3.4296 | Train Acc: 1.04% | Val Loss: 3.4000 | Val Acc: 23.99% | LR: 0.0001372
Epoch 053/80 | Loss: 2.7800 | SupCon: 2.4156 | CE: 3.4567 | Train Acc: 5.21% | Val Loss: 3.4006 | Val Acc: 25.55% | LR: 0.0001286
Epoch 054/80 | Loss: 2.7351 | SupCon: 2.3423 | CE: 3.4646 | Train Acc: 3.12% | Val Loss: 3.4010 | Val Acc: 28.35% | LR: 0.0001201
